income,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
28859,24,51,3,4,321.6
77330,0,21,0,3,99.257608
0,3,92,0,1,504.0
24495,29,65,0,1,336.0
95697,29,29,0,9,178.006524
26372,11,7,0,1,604.8
17514,2,5,0,3,8.312729
89270,17,90,0,1,316.599228
29757,13,55,0,1,312.0
51814,28,89,0,1,56.300724
24028,14,27,0,2,393.6
28142,18,50,0,1,701.708239
52705,14,8,1,2,128.705563
0,1,5,0,1,679.368378
84903,7,63,0,1,497.126827
0,14,64,0,4,566.4
24910,7,63,1,1,347.857619
0,15,12,2,2,554.4
21876,12,28,0,2,465.41477
0,33,61,1,2,496.8
0,17,1,1,7,292.8
70699,1,57,0,2,256.813837
0,11,85,1,2,355.2
27501,20,0,0,1,542.319401
15897,30,99,0,2,303.148399
25141,12,4,1,2,25.438063
0,5,46,3,1,292.8
51066,23,0,0,8,787.993313
28358,24,37,0,1,84.024413
61846,1,48,0,1,215.8182
90972,3,47,0,8,232.926145
0,3,95,0,7,532.8
29549,17,51,0,1,710.433775
0,12,17,1,2,552.0
39411,4,29,2,4,1122.658899
21709,28,17,0,3,408.374746
67890,23,57,0,2,408.0
0,3,16,0,1,792.0
84311,11,98,4,2,532.8
99316,26,53,0,1,754.358929
54507,20,11,0,1,702.990032
64586,3,17,0,1,206.837111
61709,5,41,2,7,275.395894
94656,12,79,1,1,459.738128
0,5,40,0,1,496.8
61085,27,34,1,1,336.0
89284,7,31,3,2,321.6
0,6,12,0,2,302.4
31686,11,33,0,1,430.994107
56855,12,1,0,1,1836.0
53703,3,45,2,1,67.632476
0,12,35,1,2,844.481918
20396,15,60,1,4,364.8
27679,30,28,0,3,722.486994
23904,1,67,3,1,590.4
65351,4,54,0,1,481.027516
0,20,1,0,7,1124.427734
0,0,54,3,7,669.682001
0,14,35,0,2,1284.093173
64459,16,64,0,1,240.259479
32961,13,53,0,3,912.0
71416,10,0,0,3,556.8
68964,15,6,0,3,115.086827
78108,12,34,0,1,470.4
10621,28,22,0,5,321.6
84910,4,69,0,2,383.167471
77493,2,35,0,3,307.963291
81097,7,67,0,1,355.2
96610,6,23,0,3,520.364752
30110,20,71,0,1,466.436375
22081,1,9,0,6,451.670309
0,12,93,0,3,537.6
98473,19,69,0,1,345.6
97431,1,72,0,3,355.2
93870,1,96,0,8,331.2
50366,9,5,0,9,428.734656
34498,30,72,0,7,398.4
16552,23,53,0,2,494.4
26787,7,50,0,5,369.6
0,2,42,0,9,831.752839
43860,15,58,0,1,156.124914
21474,13,72,2,9,373.428187
18174,8,16,0,9,395.934815
0,18,45,0,5,350.4
60920,10,61,0,2,231.201886
41520,18,70,0,2,289.904105
0,12,89,0,1,729.6
0,19,16,0,8,326.4
72208,3,84,0,8,350.4
53863,12,30,0,2,105.765111
66446,8,77,0,3,639.464548
0,18,26,0,1,292.8
64997,7,99,1,1,383.442328
64460,18,42,0,3,316.8
46618,22,77,0,2,99.085943
0,13,64,0,4,307.2
49988,6,37,5,5,566.935022
0,2,8,5,1,436.8
16269,6,84,0,1,412.8
72006,4,38,0,3,307.2
0,3,60,2,2,388.8
0,34,83,0,1,2345.413441
44320,13,79,0,2,321.6
19782,13,66,0,1,773.470977
63933,35,98,0,2,424.883448
28224,13,13,0,8,523.2
21073,25,54,1,3,508.8
63243,21,73,0,3,364.240307
20993,35,90,0,1,638.4
94827,5,64,0,4,354.729129
39161,18,83,1,4,283.995953
37534,2,0,2,2,403.2
80210,30,28,0,1,20.543176
0,32,59,0,2,385.115437
30110,2,4,0,5,140.165035
21708,28,77,0,2,326.4
94731,23,65,0,4,321.6
32375,17,83,0,6,398.4
16531,0,40,0,4,102.879769
32006,28,7,0,2,56.868289
81676,21,86,0,8,463.158502
71038,15,56,0,3,205.444066
0,20,43,0,1,741.6
20832,8,32,0,2,56.371967
0,19,10,0,7,813.6
52405,2,27,0,1,494.4
0,3,89,0,1,795.864079
26583,6,46,4,1,614.4
25486,15,53,0,3,72.438681
24065,30,1,0,5,532.8
70435,0,50,0,4,67.881546
0,33,36,2,2,402.636829
39679,2,85,0,1,641.388616
0,13,45,0,5,342.481173
0,21,70,4,3,331.2
53565,27,34,1,6,340.8
37574,19,14,1,1,412.101933
48259,14,79,0,3,73.700573
78532,25,87,0,3,374.4
96163,23,90,0,3,350.4
0,0,86,0,7,345.6
0,9,72,1,5,722.024742
72672,7,39,0,5,259.361117
99002,33,75,1,8,537.6
79494,19,30,0,3,396.295614
35704,21,35,0,8,358.281562
0,6,5,0,3,653.388564
26049,17,6,0,6,121.032372
70125,21,77,0,1,92.813396
52369,34,49,1,2,528.0
0,25,51,2,1,159.636956
41770,0,60,0,9,476.156957
0,16,88,0,8,727.2
31911,33,27,0,1,321.6
70051,15,69,0,8,42.078345
19683,17,41,1,9,561.6
30916,7,65,0,2,200.11606
0,24,95,0,1,676.944023
0,14,64,0,4,566.4
0,0,45,0,2,830.623064
60145,8,28,0,3,580.473259
63774,18,63,0,1,60.036683
25134,3,0,0,6,321.6
37057,5,48,1,6,47.53101
58577,6,62,0,1,303.872752
85857,3,19,0,6,100.620067
70602,8,47,0,3,481.339891
33816,10,97,2,3,508.8
0,7,75,0,2,1101.6
89642,11,20,4,1,86.320022
60068,17,75,0,1,470.4
50044,16,14,0,1,667.2
36650,2,70,1,1,56.60333
50653,29,42,0,1,262.865172
68931,32,30,0,7,309.577946
0,14,39,1,1,350.4
0,1,22,0,5,365.364581
39266,33,31,0,2,384.0
0,35,48,0,2,489.6
0,24,11,1,2,705.6
40864,2,75,0,1,9.51528
39035,15,65,0,1,244.564334
34923,23,82,0,2,639.105556
0,1,56,0,1,453.6
0,27,36,0,9,532.8
24506,7,47,0,1,511.2
0,25,63,0,2,554.522969
52220,17,42,1,5,336.0
0,17,73,0,1,402.449823
53554,6,5,0,2,327.020539
34476,23,49,1,3,5.3953
0,1,11,0,5,131.401291
68205,35,14,0,1,99.382943
0,6,48,1,8,856.8
53690,20,97,0,2,739.2
0,2,22,0,5,518.4
0,28,31,0,1,292.8
74454,25,29,0,3,340.8
0,23,91,0,2,350.4
29664,1,69,0,3,340.8
15680,20,29,0,8,260.879903
47272,17,17,3,2,64.546877
21585,35,61,0,1,441.6
23827,18,77,2,3,37.910623
69906,34,32,2,2,202.860399
0,7,77,0,1,345.6
89879,17,20,0,3,94.030308
0,9,89,0,1,331.2
46131,27,28,0,1,355.2
54514,5,36,3,1,286.234931
0,29,1,0,1,1159.2
96668,2,95,0,3,316.8
78879,9,67,1,4,466.570791
0,21,86,0,2,331.2
0,8,44,0,3,364.8
0,28,30,0,2,1252.406235
29735,3,92,0,1,331.2
23082,18,90,0,7,312.0
53984,15,62,0,1,421.484456
52135,6,86,0,9,430.505942
17576,29,70,0,1,398.502948
29486,19,73,0,1,7.646763
58557,4,83,0,1,55.510526
25632,27,52,0,7,351.270869
0,7,42,0,9,806.4
18768,19,53,3,3,647.454583
33190,18,95,0,2,508.8
47945,32,39,0,3,128.43823
58778,6,62,0,2,302.033971
15192,1,7,0,1,480.0
51859,0,21,0,1,1003.160633
23422,25,76,0,3,518.4
21604,14,28,0,1,379.2
79298,22,2,0,1,244.362072
76731,2,68,0,1,201.455005
67282,29,27,0,1,297.6
48534,29,79,1,2,552.0
77678,32,81,0,1,741.418485
48412,15,23,0,2,707.430832
33837,29,54,4,1,305.575785
23712,2,20,0,3,376.126419
28142,18,50,0,1,701.708239
72196,8,61,0,2,152.184244
68197,1,81,0,3,176.819414
75248,13,71,0,5,104.454624
0,9,50,0,2,941.718054
0,5,19,1,1,468.0
41546,4,47,0,3,121.306839
46998,13,98,0,6,460.8
57099,20,37,0,1,67.859881
33897,15,67,0,8,539.843003
59207,23,21,0,2,556.8
40171,8,78,0,1,350.4
67798,1,78,0,9,331.2
21665,0,25,0,1,765.709629
0,9,75,0,2,626.4
0,12,67,5,7,321.6
34226,29,22,0,2,494.395024
65989,4,43,1,2,115.545086
30686,22,45,0,3,19.938981
0,15,6,0,2,799.926741
20090,10,59,0,2,523.2
0,6,16,0,2,878.4
77094,25,29,0,5,444.470676
97413,21,80,0,6,268.819985
79189,6,97,0,4,331.2
0,5,31,0,1,297.6
18577,21,76,0,6,412.8
0,7,34,1,1,806.4
40783,13,43,1,9,321.6
0,34,51,0,4,532.8
17483,24,63,0,1,1317.6
84394,9,38,0,1,691.412378
0,3,93,0,3,804.811859
41440,20,80,1,2,297.6
0,14,69,1,8,1090.86434
98132,10,61,0,3,50.587035
0,4,49,0,1,537.6
88220,28,63,0,2,151.528482
58327,31,5,0,3,347.075948
25950,27,1,0,2,271.697529
20993,35,90,0,1,638.4
65726,35,90,0,7,849.6
0,35,59,3,3,639.45899
39783,28,43,0,1,345.6
58842,6,74,0,1,528.0
25629,3,70,2,6,595.2
48567,12,15,0,1,624.0
0,0,73,2,1,1337.063487
33746,1,6,1,1,355.2
22254,22,75,0,2,125.194389
65974,3,43,0,3,235.220971
0,18,63,0,3,395.34111
17161,1,22,1,1,542.4
0,1,62,0,7,772.798511
0,9,85,0,6,633.6
0,9,14,0,2,350.4
67752,4,40,4,9,168.517149
25398,30,80,0,6,307.2
0,30,19,0,4,633.6
33321,6,2,0,3,504.0
0,13,32,0,1,845.654042
68798,19,69,0,1,92.915251
20325,4,6,0,1,668.29397
13129,15,93,0,6,700.901632
0,24,57,0,4,525.6
49080,14,68,0,1,25.299
42536,30,57,0,6,375.330097
29926,25,34,0,1,418.233667
0,5,55,0,1,398.240791
21450,15,35,0,4,938.513425
33345,32,52,0,2,338.619869
15752,27,37,0,2,339.344531
40169,1,47,1,3,302.818833
26049,10,15,1,9,619.165344
0,3,4,0,1,326.4
55411,24,53,0,4,259.561195
12459,4,41,0,1,336.0
64620,24,32,1,2,364.8
83140,25,70,0,1,179.161843
0,20,50,0,1,662.4
54422,9,8,0,5,75.501852
68309,4,67,0,9,306.983596
56621,27,36,2,1,84.026848
38977,27,22,0,1,139.489926
0,32,13,0,3,607.4459
0,12,43,0,1,631.124372
0,35,87,0,8,628.023494
83235,16,33,0,2,336.0
0,7,93,0,2,426.655599
32390,20,36,0,8,91.417923
66538,14,64,0,2,317.844812
0,12,24,0,1,460.8
76358,25,3,0,2,86.461582
43860,15,58,0,1,156.124914
55350,0,13,0,9,321.6
12964,2,37,0,4,362.774545
33288,1,27,2,9,221.856184
0,31,25,0,3,980.169081
56168,13,20,0,1,614.675906
0,3,28,0,4,662.4
23105,15,21,0,3,331.2
36218,6,83,0,1,145.252168
52275,6,88,0,5,374.240783
49665,5,51,0,2,355.2
32471,0,87,0,1,528.0
0,12,89,1,2,619.2
62773,19,57,0,9,80.669257
76694,34,23,0,1,561.6
55687,33,91,0,1,1324.8
0,20,81,0,1,504.0
36633,20,61,1,1,460.8
77060,23,90,0,2,468.566133
92600,9,48,0,1,842.43785
0,2,75,0,2,475.2
0,6,24,2,1,1171.93117
64801,23,19,0,2,268.471802
45257,33,90,0,4,494.4
26854,31,70,0,1,475.2
85840,14,79,2,4,138.722385
26463,28,93,0,2,345.6
30689,23,51,0,5,467.24802
29590,17,18,0,1,467.503236
25965,15,59,0,1,1214.4
17269,3,31,0,5,667.2
90330,0,86,3,2,192.085299
0,34,5,0,8,619.973889
0,20,66,0,7,1002.782553
0,2,49,1,3,321.6
18558,17,23,0,1,384.0
46384,33,93,0,1,251.774574
0,1,77,0,2,866.208321
42303,24,66,0,1,1210.920949
71731,12,50,0,2,599.648466
51066,23,0,0,8,787.993313
0,20,66,0,2,2027.724442
0,19,93,3,5,619.2
0,16,45,0,6,72.852047
26173,2,10,1,9,449.819671
24445,18,15,0,2,302.4
72302,6,27,0,1,316.8
27208,10,65,0,1,489.6
36650,2,70,1,1,56.60333
30855,7,15,0,7,259.060862
0,13,20,0,5,456.0
99960,19,83,0,4,364.8
0,1,15,0,2,470.4
55873,30,19,0,6,299.356083
18052,5,71,0,1,699.1679
28937,28,23,2,6,117.959654
0,34,80,0,5,545.240341
0,9,94,0,2,350.4
12829,33,1,0,9,328.231432
92163,3,79,0,6,66.568642
17588,24,92,0,2,1382.4
82302,11,92,0,1,722.178166
0,19,40,0,2,609.6
70340,5,56,0,1,542.4
0,35,59,0,1,532.8
50825,3,46,0,3,369.614729
93459,9,85,0,5,655.41333
86148,19,51,2,4,312.0
27048,5,85,0,4,345.6
73259,7,31,0,4,673.34265
35482,21,59,0,3,619.2
29462,28,23,1,1,513.6
67801,12,45,1,1,23.810491
0,34,59,4,1,451.2
16042,33,58,0,9,350.4
28056,32,41,1,8,307.2
16495,25,75,3,1,408.0
41163,11,66,0,3,231.922173
0,3,71,1,9,772.8
33799,28,52,3,2,664.980242
0,17,71,3,2,292.8
87747,3,87,1,1,46.492039
35695,2,7,0,1,432.0
90985,33,39,0,1,78.085149
0,19,16,0,1,564.466556
66839,33,24,0,1,739.2
0,16,43,0,3,792.0
79090,2,74,0,3,289.040734
24825,34,44,0,1,155.938593
26806,32,19,0,2,302.4
56835,25,16,0,3,326.549425
0,12,54,0,6,653.65668
46135,12,68,0,1,103.935601
0,21,87,0,4,809.532341
22862,9,40,0,2,321.6
21450,8,80,2,3,528.0
95854,16,78,0,1,312.0
44897,22,46,1,7,580.72531
54040,14,88,0,4,59.987126
53265,12,27,0,3,238.005074
0,18,55,1,1,1577.674417
43817,25,12,1,2,245.447622
54780,22,72,3,5,135.26125
0,9,8,0,3,571.2
67798,1,78,0,9,331.2
21442,32,84,0,3,566.4
27615,19,18,1,1,297.6
17622,1,36,1,3,312.0
50200,23,98,0,1,637.063458
0,3,51,2,1,537.6
0,31,34,0,1,460.8
73570,0,46,1,1,75.936096
0,4,85,0,1,799.2
0,11,15,0,6,603.058114
36631,30,77,0,1,67.530904
35895,11,51,0,1,312.921256
40864,16,70,1,1,166.937747
0,15,77,0,4,566.4
93018,5,90,0,3,135.382194
70014,6,4,0,2,17.742954
48875,20,9,0,1,1.838367
67969,11,14,0,2,197.776009
0,8,55,0,2,612.102262
68665,33,67,0,7,331.2
26802,7,43,1,5,316.8
0,6,37,0,6,1193.036154
45345,0,73,0,2,600.0
17101,1,88,0,2,542.4
32051,4,40,1,1,926.4
81139,22,69,0,3,392.6364
63834,23,19,1,3,215.226476
37548,12,9,0,3,160.598662
0,28,28,3,2,371.803029
72421,8,23,0,1,312.0
83102,15,35,0,1,443.670399
28432,1,59,0,2,612.300581
83707,2,72,0,7,290.391526
63259,25,14,0,7,316.795337
0,18,73,0,8,405.527937
63860,26,81,0,1,208.598246
67176,20,90,0,9,345.6
86132,30,10,0,3,301.437365
28519,1,56,0,1,456.473115
39102,11,98,0,2,152.338562
0,17,56,0,1,491.755368
97298,16,38,0,2,48.517439
41986,25,31,2,5,430.375049
0,6,47,0,2,633.6
17291,3,25,0,5,350.4
0,0,52,0,2,246.489123
37256,15,7,0,2,128.969729
96306,12,17,1,6,185.355353
14290,20,40,0,1,1300.8
37038,6,97,1,1,9.071305
90760,5,7,2,1,133.475315
20668,34,54,3,2,902.4
54480,19,91,0,1,321.6
16244,4,85,0,1,623.223617
22436,24,21,0,3,427.2
25544,18,30,0,1,326.4
28728,8,10,0,1,321.6
57449,6,28,0,2,494.4
83318,21,42,0,1,211.336937
55561,2,79,0,2,227.872071
0,18,32,5,1,862.762957
55308,17,74,0,6,513.6
36068,0,10,0,2,113.367765
48804,1,4,1,2,537.6
0,6,52,0,6,943.2
55790,4,40,0,9,117.672722
70258,20,65,0,2,225.145949
0,13,20,0,5,456.0
47274,32,26,1,5,182.432565
0,27,10,0,8,644.755653
0,26,84,0,3,525.6
15818,24,99,0,2,333.886816
44552,7,42,0,3,311.103582
64348,25,18,0,1,212.391975
0,27,53,0,2,297.6
88997,9,71,0,3,174.041566
77411,30,63,0,1,257.900458
10312,10,63,0,1,486.278557
0,4,11,1,7,345.6
96263,5,5,0,1,1.924709
28919,18,11,0,1,518.4
0,2,28,1,4,326.4
41869,5,52,0,6,262.12205
0,5,76,0,8,921.6
32808,1,88,1,1,541.695658
79780,11,58,0,2,326.4
91025,26,37,0,9,327.682669
33043,15,90,0,1,456.0
69442,26,6,3,3,1265.570302
0,18,47,0,1,63.043197
0,25,48,0,9,336.0
47234,11,34,0,1,15.631363
86863,27,26,0,3,441.6
25805,25,0,2,2,375.866091
43676,19,7,0,3,364.8
59855,30,82,4,1,355.2
35296,19,11,0,2,452.616872
36576,11,73,1,3,113.450122
28513,4,22,1,2,480.0
85448,16,76,0,3,16.03451
23791,11,71,3,7,615.27228
20597,31,46,0,1,615.256301
56940,11,10,0,9,512.66245
93210,35,62,0,2,74.523935
48992,30,0,1,7,426.072946
53736,2,20,0,2,169.287785
25378,22,32,1,2,419.464143
76731,2,68,0,1,201.455005
0,11,85,0,1,662.69318
69379,14,79,0,1,494.4
57449,6,28,0,2,494.4
0,7,31,0,7,326.4
0,30,70,0,6,669.6
33806,32,59,0,2,395.729716
77048,20,41,0,1,141.199465
74965,20,93,0,2,58.557552
34095,5,99,0,2,302.4
0,16,35,4,1,316.8
96045,24,35,0,1,8.582971
86355,27,86,0,2,285.418473
27824,32,9,0,8,566.4
42995,10,22,0,2,410.508316
21235,18,56,0,1,244.23135
74585,1,49,0,1,218.598065
41833,28,43,0,1,643.826716
23908,18,57,0,4,336.0
0,9,31,0,2,312.0
61953,5,63,0,1,497.047297
0,5,87,0,1,1022.4
0,25,45,0,1,657.6
73760,16,3,1,2,230.245772
23333,8,43,0,1,5.622751
0,6,30,0,1,292.8
20440,11,54,2,9,614.4
86073,3,32,0,1,333.5671
50943,18,14,0,1,667.2
19003,29,21,0,1,34.651305
46703,0,48,0,6,678.100487
14072,13,3,0,2,511.2
21733,17,37,0,2,525.6
20811,33,61,0,1,292.8
11904,34,11,2,3,292.8
43490,24,63,4,6,174.588413
57340,7,19,0,2,159.391681
49088,4,46,0,3,698.4
47761,2,54,0,6,232.711071
70930,2,21,0,2,190.43446
61281,7,16,0,7,79.865605
0,4,77,1,3,393.6
25290,0,4,0,2,382.085897
24239,25,5,0,8,48.348319
82664,24,10,3,9,133.425609
83210,0,25,0,3,528.0
38736,7,35,0,2,561.414794
0,0,10,0,9,316.8
55437,5,78,1,2,445.287788
0,0,93,0,1,23.820158
0,33,83,0,3,407.99684
29066,13,51,0,3,844.229478
54337,27,7,0,1,345.6
67616,25,17,0,2,340.306584
41082,23,94,0,2,106.647493
0,12,71,0,4,626.116259
36650,2,70,1,1,56.60333
50631,19,12,4,2,784.65781
19592,31,63,0,2,441.6
0,30,1,0,2,547.2
55761,22,73,0,2,86.27772
17576,29,70,0,1,398.502948
41449,15,45,0,5,63.516572
14290,20,40,0,1,1300.8
62007,4,7,0,3,120.015609
21921,14,44,0,3,1254.137899
42621,8,3,0,3,316.8
0,16,41,1,2,417.6
63786,30,81,0,1,798.002689
0,1,48,3,7,82.041684
82877,8,89,1,3,22.819088
0,0,75,0,1,302.4
10475,13,81,1,2,422.4
21952,20,31,0,6,316.8
49721,18,49,0,2,639.971388
88340,16,1,0,2,489.6
0,7,28,0,1,312.0
0,14,62,0,2,468.0
24589,33,39,0,2,511.497882
69379,14,79,0,1,494.4
73769,24,95,2,3,239.540223
66670,23,6,0,1,518.180364
88854,6,50,0,2,715.252366
31266,6,79,0,1,926.4
43860,15,58,0,1,156.124914
89284,4,62,2,1,402.070719
67267,31,10,0,2,94.814032
79270,28,61,3,2,456.0
36692,1,6,1,1,523.2
0,0,37,0,1,571.2
0,3,65,0,3,513.6
0,3,92,0,1,504.0
0,8,14,0,1,972.0
44624,10,79,1,2,73.883044
0,1,23,0,2,340.8
19614,21,32,0,2,574.024018
0,31,53,0,1,632.715382
83846,22,94,3,2,355.2
51159,4,61,0,1,4.238626
83772,13,76,0,1,42.248087
66839,33,24,0,1,739.2
88440,19,30,0,2,27.145151
25666,7,30,2,2,270.002766
52926,2,92,0,1,292.8
0,16,90,0,1,494.946438
40001,26,7,0,2,142.567008
0,24,10,0,1,425.266308
18024,13,1,0,3,312.0
0,19,2,3,2,326.4
23220,3,73,0,1,251.334247
64125,3,44,0,3,369.818708
58042,14,88,0,2,161.419528
90034,5,86,0,1,537.6
27972,7,38,0,1,292.8
0,6,45,0,2,312.0
50989,3,11,0,1,255.999709
11885,18,39,0,2,484.8
89451,11,2,0,1,61.769564
0,3,56,0,2,1310.4
78904,10,38,0,9,250.001424
70247,13,19,1,1,141.799422
32653,4,25,0,9,321.6
93595,15,30,4,1,49.797016
90279,7,64,0,2,372.175592
0,3,56,0,3,542.14385
53310,26,33,3,1,1360.8
0,5,42,0,5,504.0
22234,0,92,0,3,768.0
91375,22,89,0,2,72.632934
22250,10,36,0,3,720.601429
0,9,69,0,7,576.0
0,18,25,1,4,481.025786
51179,10,25,0,2,466.176731
38667,8,67,0,1,159.266473
79487,20,87,0,1,547.2
67763,28,10,2,9,41.283167
0,8,81,2,6,503.808329
0,5,20,0,5,859.599411
71943,8,51,0,4,305.653785
53526,27,69,0,4,278.902846
35005,14,46,0,2,1416.0
24721,3,76,0,1,139.963594
0,29,72,2,2,734.4
88997,9,71,0,3,174.041566
48587,7,14,0,2,532.8
76310,1,33,0,1,321.6
73205,9,18,0,1,37.299865
51056,27,86,0,2,95.816516
58414,7,24,2,1,1008.0
23940,13,34,0,7,513.6
0,26,18,0,1,446.4
44216,24,36,0,2,72.205362
27972,7,38,0,1,292.8
0,27,48,0,9,331.2
29305,1,38,0,1,475.2
53882,14,33,0,1,331.2
91757,29,58,1,1,331.2
33906,25,49,0,2,401.592109
68158,28,87,1,4,253.183568
0,24,86,3,5,643.2
42165,22,66,0,1,799.673766
0,24,11,0,1,727.2
30817,25,43,0,1,91.834668
68074,12,62,0,1,27.987867
0,20,59,0,2,842.391832
71135,11,64,1,3,270.563995
0,30,35,0,3,292.8
37722,8,23,0,8,158.077504
0,5,56,0,2,667.2
44705,21,63,0,6,148.173152
64642,3,79,0,2,404.265696
50071,3,32,0,1,18.918935
46754,5,70,1,9,513.818403
64801,23,19,0,2,268.471802
70410,25,13,0,1,131.828507
66957,31,4,1,1,628.8
24213,11,28,1,2,374.4
0,1,83,4,1,960.115399
79751,15,67,0,1,392.235698
86122,33,54,1,1,873.6
82297,5,62,0,1,0.382107
82210,33,46,4,1,51.961915
43259,12,18,0,2,350.4
0,7,72,0,2,379.2
25064,17,34,0,1,297.6
25816,18,63,0,1,571.2
0,14,74,0,8,350.853987
41662,27,73,0,6,217.973168
96170,8,86,0,1,441.6
46072,0,61,0,4,25.934064
37931,8,31,0,2,475.2
35127,9,21,0,5,297.6
72450,21,58,0,1,84.218363
93087,14,25,3,1,628.8
22398,23,76,2,1,321.6
92983,9,77,1,2,153.205591
27689,0,72,2,1,2893.239678
69654,10,50,0,7,629.532731
80744,15,19,0,2,361.284757
0,13,59,0,1,1185.988301
0,7,5,1,2,460.8
76358,25,3,0,2,86.461582
18608,13,24,0,1,340.8
73168,21,50,0,3,425.800112
21190,24,68,2,1,312.0
94041,14,11,0,1,159.756733
91474,9,99,0,2,24.087774
61469,16,65,5,3,302.4
16618,0,40,0,1,219.288706
48081,31,12,0,5,881.360959
67632,0,44,0,4,26.951627
34115,6,73,0,6,466.122541
23051,31,86,0,1,475.2
